DATE,SPDYNLE00INUSA
1960-01-01,69.7707317073171
1961-01-01,70.2707317073171
1962-01-01,70.119512195122
1963-01-01,69.9170731707317
1964-01-01,70.1658536585366
1965-01-01,70.2146341463415
1966-01-01,70.2121951219512
1967-01-01,70.5609756097561
1968-01-01,69.9512195121951
1969-01-01,70.5073170731708
1970-01-01,70.8073170731707
1971-01-01,71.1073170731707
1972-01-01,71.1560975609756
1973-01-01,71.3560975609756
1974-01-01,71.9560975609756
1975-01-01,72.6048780487805
1976-01-01,72.8560975609756
1977-01-01,73.2560975609756
1978-01-01,73.3560975609756
1979-01-01,73.8048780487805
1980-01-01,73.609756097561
1981-01-01,74.009756097561
1982-01-01,74.3609756097561
1983-01-01,74.4634146341463
1984-01-01,74.5634146341464
1985-01-01,74.5634146341464
1986-01-01,74.6146341463415
1987-01-01,74.7658536585366
1988-01-01,74.7658536585366
1989-01-01,75.0170731707317
1990-01-01,75.2146341463415
1991-01-01,75.3658536585366
1992-01-01,75.6170731707317
1993-01-01,75.419512195122
1994-01-01,75.619512195122
1995-01-01,75.6219512195122
1996-01-01,76.0268292682927
1997-01-01,76.4292682926829
1998-01-01,76.5804878048781
1999-01-01,76.5829268292683
2000-01-01,76.6365853658537
2001-01-01,76.8365853658537
2002-01-01,76.9365853658537
2003-01-01,77.0365853658537
2004-01-01,77.4878048780488
2005-01-01,77.4878048780488
2006-01-01,77.6878048780488
2007-01-01,77.9878048780488
2008-01-01,78.0390243902439
2009-01-01,78.390243902439
2010-01-01,78.5414634146342
2011-01-01,78.6414634146341
2012-01-01,78.7414634146342
2013-01-01,78.7414634146342
2014-01-01,78.8414634146341
2015-01-01,78.690243902439
2016-01-01,78.5390243902439
2017-01-01,78.5390243902439
2018-01-01,78.6390243902439
2019-01-01,78.7878048780488
2020-01-01,76.9804878048781
2021-01-01,76.3292682926829
2022-01-01,77.4341463414634
